Supernatural, (2005), 8.4 based on 450_683 user ratings, https://www.imdb.com/title/tt0460681/, https://m.media-amazon.com/images/M/MV5BNzRmZWJhNjUtY2ZkYy00N2MyLWJmNTktOTAwY2VkODVmOGY3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX45_CR0,0,45,67_AL_.jpg
NCIS, (2003), 7.8 based on 150_355 user ratings, https://www.imdb.com/title/tt0364845/, https://m.media-amazon.com/images/M/MV5BYjVlMjZhYzYtOGQxNC00OTQxLTk2NzEtMWFmMmNhODA4YjYzXkEyXkFqcGdeQXVyNjQ3MDgwNjY@._V1_UX45_CR0,0,45,67_AL_.jpg
Law & Order: Special Victims Unit, (1999), 8.1 based on 110_038 user ratings, https://www.imdb.com/title/tt0203259/, https://m.media-amazon.com/images/M/MV5BYmNkN2RlMzktMDgzNi00OWRmLWI3N2ItYzU5ZGUyMzc3MjJhXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UY67_CR0,0,45,67_AL_.jpg
The Crown, (2016), 8.6 based on 225_157 user ratings, https://www.imdb.com/title/tt4786824/, https://m.media-amazon.com/images/M/MV5BZTEyNjBjYmYtYWYxYi00MmQyLThlYmItY2I4NzM1Mjg1MWYxXkEyXkFqcGdeQXVyMTU3ODI3MTk2._V1_UY67_CR0,0,45,67_AL_.jpg
The Rookie, (2018), 8.0 based on 42_871 user ratings, https://www.imdb.com/title/tt7587890/, https://m.media-amazon.com/images/M/MV5BOTY5OWFmMzAtZTIxYi00NGM4LTk3YWMtY2MyYzMwOWVhZWM0XkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UY67_CR4,0,45,67_AL_.jpg
Peaky Blinders, (2013), 8.8 based on 561_541 user ratings, https://www.imdb.com/title/tt2442560/, https://m.media-amazon.com/images/M/MV5BZjYzZDgzMmYtYjY5Zi00YTk1LThhMDYtNjFlNzM4MTZhYzgyXkEyXkFqcGdeQXVyMTE5NDQ1MzQ3._V1_UY67_CR4,0,45,67_AL_.jpg
Ted Lasso, (2020), 8.8 based on 226_609 user ratings, https://www.imdb.com/title/tt10986410/, https://m.media-amazon.com/images/M/MV5BMDVmODUzNmEtMGMxZC00NWUzLTkxMTAtMDM5OTQzMWE0ZDM3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg
The Rig, (2023), 5.8 based on 9_290 user ratings, https://www.imdb.com/title/tt14273790/, https://m.media-amazon.com/images/M/MV5BOGY2ZmI0NTgtMWRiNy00NzI5LTk2NGYtN2Y4MDI2YmM0NzgyXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UY67_CR0,0,45,67_AL_.jpg
Servant, (2019), 7.5 based on 38_090 user ratings, https://www.imdb.com/title/tt8068860/, https://m.media-amazon.com/images/M/MV5BNDNiOWE4Y2YtMDZiOS00OGFlLWIyN2QtYjA0MmFlOWY0NDRkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR0,0,45,67_AL_.jpg
Alice in Borderland, (2020), 7.7 based on 75_541 user ratings, https://www.imdb.com/title/tt10795658/, https://m.media-amazon.com/images/M/MV5BZmUwMGI4M2QtYmRlYy00NDQ1LThjNDAtYTI4NDNiNDg5MDViXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_UX45_CR0,0,45,67_AL_.jpg
Will Trent, (2023), 7.6 based on 3_826 user ratings, https://www.imdb.com/title/tt17543592/, https://m.media-amazon.com/images/M/MV5BNTI3YzhhYmItZTViNC00NmE5LTgzOGQtNmZkOThkZmYwZDY0XkEyXkFqcGdeQXVyMTUzOTcyODA5._V1_UX45_CR0,0,45,67_AL_.jpg
Friends, (1994), 8.9 based on 1_007_276 user ratings, https://www.imdb.com/title/tt0108778/, https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY67_CR0,0,45,67_AL_.jpg
The Big Bang Theory, (2007), 8.2 based on 816_630 user ratings, https://www.imdb.com/title/tt0898266/, https://m.media-amazon.com/images/M/MV5BY2FmZTY5YTktOWRlYy00NmIyLWE0ZmQtZDg2YjlmMzczZDZiXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX45_CR0,0,45,67_AL_.jpg
How I Met Your Father, (2022), 5.5 based on 18_876 user ratings, https://www.imdb.com/title/tt14500082/, https://m.media-amazon.com/images/M/MV5BYTg2Yzk2NGItM2NhZS00YjBhLThiYWUtYmY1ZTUzMTY2YTVjXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UY67_CR0,0,45,67_AL_.jpg
Lockwood & Co, (2023), 7.6 based on 7_230 user ratings, https://www.imdb.com/title/tt13802576/, https://m.media-amazon.com/images/M/MV5BY2RiOGNmMmYtNmFlOC00MDg2LTk2YTItZWRmMmZjZjc1OGMxXkEyXkFqcGdeQXVyMTYxMDYwMzI2._V1_UY67_CR4,0,45,67_AL_.jpg
The Bear, (2022), 8.4 based on 79_140 user ratings, https://www.imdb.com/title/tt14452776/, https://m.media-amazon.com/images/M/MV5BMmZmMjgyOTUtZjljMS00NjhlLTkzMmItM2EyMzY5NzU0NzFiXkEyXkFqcGdeQXVyNjIzMTEyNDk@._V1_UY67_CR4,0,45,67_AL_.jpg
His Dark Materials, (2019), 7.8 based on 76_085 user ratings, https://www.imdb.com/title/tt5607976/, https://m.media-amazon.com/images/M/MV5BM2FlYzgyZDYtYzI0ZS00YThiLTg4N2EtNmViMDdmMTcyNWU0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR4,0,45,67_AL_.jpg
Slow Horses, (2022), 7.9 based on 36_241 user ratings, https://www.imdb.com/title/tt5875444/, https://m.media-amazon.com/images/M/MV5BNDgwODEwOTYtODYwMS00MzE5LTg3ODktOTU2YjExYWEzMmQ2XkEyXkFqcGdeQXVyNjYxNjc0OTc@._V1_UY67_CR0,0,45,67_AL_.jpg
It's Always Sunny in Philadelphia, (2005), 8.8 based on 229_432 user ratings, https://www.imdb.com/title/tt0472954/, https://m.media-amazon.com/images/M/MV5BMzg3ODVjZTYtZTAyNC00MzVjLTk3NmUtMGI4ZjZmNGQ1NmY4XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UY67_CR0,0,45,67_AL_.jpg
True Detective, (2014), 8.9 based on 579_108 user ratings, https://www.imdb.com/title/tt2356777/, https://m.media-amazon.com/images/M/MV5BMmRlYmE0Y2UtNDk2Yi00NzczLWEwZTEtZmE2OTcyYzcxYmU5XkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_UY67_CR1,0,45,67_AL_.jpg
Teen Wolf, (2011), 7.7 based on 151_938 user ratings, https://www.imdb.com/title/tt1567432/, https://m.media-amazon.com/images/M/MV5BMThlNTk3YzMtOTZjMi00M2NiLTg1NTgtYThiYzE2MDFmMDUwXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX45_CR0,0,45,67_AL_.jpg
Modern Family, (2009), 8.5 based on 437_743 user ratings, https://www.imdb.com/title/tt1442437/, https://m.media-amazon.com/images/M/MV5BNzRhNWIxYTEtYjc2NS00YWFlLWFhOGEtMDZiMWM1M2RkNDkyXkEyXkFqcGdeQXVyNjc0MjkzNjc@._V1_UX45_CR0,0,45,67_AL_.jpg
The Recruit, (2022), 7.5 based on 28_582 user ratings, https://www.imdb.com/title/tt16030542/, https://m.media-amazon.com/images/M/MV5BOGFlN2Y1OTQtMjBhMy00ODE0LTk0OTctMWFkMjkyZjJkYWE4XkEyXkFqcGdeQXVyMTMzNzIyNDc1._V1_UY67_CR0,0,45,67_AL_.jpg
Abbott Elementary, (2021), 8.2 based on 20_479 user ratings, https://www.imdb.com/title/tt14218830/, https://m.media-amazon.com/images/M/MV5BMTY1MWUwYjItY2JmYi00ZDgyLTgzMjUtNzNkMzg0NjNjYTdkXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR1,0,45,67_AL_.jpg
You, (2018), 7.7 based on 249_989 user ratings, https://www.imdb.com/title/tt7335184/, https://m.media-amazon.com/images/M/MV5BZmUxYTllMzEtNmNmMi00OWNkLTg0ZmItZDdkYTJkOTAxZmJlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR4,0,45,67_AL_.jpg
The Blacklist, (2013), 8.0 based on 253_230 user ratings, https://www.imdb.com/title/tt2741602/, https://m.media-amazon.com/images/M/MV5BNDFkZDI5ZGUtYTdkOC00YTFiLWJjNjMtNTQ3ZjIxMTY2ZjMyXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UY67_CR0,0,45,67_AL_.jpg
Star Wars: The Bad Batch, (2021), 7.8 based on 37_937 user ratings, https://www.imdb.com/title/tt12708542/, https://m.media-amazon.com/images/M/MV5BNGIwM2E2NzEtMjQzZC00M2FmLThhMDktZTRlMGYzZWZlZGYzXkEyXkFqcGdeQXVyMTQzNTA5MzYz._V1_UY67_CR0,0,45,67_AL_.jpg
Doctor Who, (2005), 8.6 based on 228_332 user ratings, https://www.imdb.com/title/tt0436992/, https://m.media-amazon.com/images/M/MV5BZWJhYjFmZDEtNTVlYy00NGExLWJhZWItNTAxODY5YTc3MDFmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR1,0,45,67_AL_.jpg
American Horror Story, (2011), 8.0 based on 323_142 user ratings, https://www.imdb.com/title/tt1844624/, https://m.media-amazon.com/images/M/MV5BOWFlOWE1OGEtOTVlMi00M2JmLWJlMGEtOWVjOGFhOTNlYTZiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg
Attack on Titan, (2013), 9.0 based on 380_777 user ratings, https://www.imdb.com/title/tt2560140/, https://m.media-amazon.com/images/M/MV5BMGY3Mzg3M2UtNzYxNi00ZDYzLTlhMTQtMjkzZTA2MWQ4NjA0XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY67_CR1,0,45,67_AL_.jpg
Suits, (2011), 8.5 based on 416_401 user ratings, https://www.imdb.com/title/tt1632701/, https://m.media-amazon.com/images/M/MV5BNmVmMmM5ZmItZDg0OC00NTFiLWIxNzctZjNmYTY5OTU3ZWU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg
